risk,place,year,count,score,rank
openntp,je,2016,210,42.09,130
openntp,jm,2016,680,51.34,93
openntp,jo,2016,650,50.98,95
openntp,jp,2016,116740,91.84,3
openntp,ke,2016,3400,64.01,51
openntp,kg,2016,450,48.09,109
openntp,kh,2016,1600,58.07,69
openntp,kn,2016,20,23.58,188
openntp,kr,2016,90690,89.85,5
openntp,kw,2016,1230,56.0,77
openntp,ky,2016,70,33.44,157
openntp,kz,2016,7030,69.72,32
openntp,la,2016,260,43.77,122
openntp,lb,2016,480,48.6,106
openntp,li,2016,140,38.9,141
openntp,lk,2016,560,49.81,98
openntp,lr,2016,50,30.79,168
openntp,ls,2016,10,18.12,199
openntp,lt,2016,880,53.37,88
openntp,lu,2016,520,49.23,102
openntp,lv,2016,540,49.52,99
openntp,ly,2016,50,30.79,168
openntp,ma,2016,2200,60.58,61
openntp,mc,2016,50,30.79,168
openntp,md,2016,2410,61.3,58
openntp,me,2016,320,45.4,117
openntp,mf,2016,20,23.58,188
openntp,mg,2016,180,40.88,134
openntp,mh,2016,60,32.23,163
openntp,mk,2016,1120,55.27,80
openntp,ml,2016,110,37.0,147
openntp,mm,2016,170,40.43,135
openntp,mn,2016,1110,55.19,82
openntp,mo,2016,1550,57.82,70
openntp,mp,2016,20,23.58,188
openntp,mq,2016,70,33.44,157
openntp,mr,2016,10,18.12,199
openntp,ms,2016,10,18.12,199
openntp,mt,2016,540,49.52,99
openntp,mu,2016,970,54.13,86
openntp,mv,2016,90,35.42,152
openntp,mw,2016,110,37.0,147
openntp,mx,2016,30260,81.21,12
openntp,my,2016,17870,77.07,17
openntp,mz,2016,190,41.3,133
openntp,na,2016,170,40.43,135
openntp,nc,2016,30,26.77,180
openntp,ne,2016,10,18.12,199
openntp,ng,2016,1160,55.54,79
openntp,ni,2016,1100,55.12,84
openntp,nl,2016,11330,73.48,26
openntp,no,2016,5080,67.17,37
openntp,np,2016,200,41.7,131
openntp,nz,2016,2520,61.65,55
openntp,om,2016,280,44.35,119
openntp,pa,2016,1800,59.0,65
openntp,pe,2016,2480,61.52,57
openntp,pg,2016,280,44.35,119
openntp,ph,2016,6280,68.84,33
openntp,pk,2016,4450,66.12,41
openntp,pl,2016,14140,75.22,21
openntp,pm,2016,10,18.12,199
openntp,pr,2016,1430,57.19,71
openntp,ps,2016,1110,55.19,82
openntp,pt,2016,3570,64.39,48
openntp,py,2016,2730,62.28,54
openntp,qa,2016,1360,56.79,74
openntp,re,2016,140,38.9,141
openntp,ro,2016,12320,74.14,23
openntp,rs,2016,3000,63.02,53
openntp,ru,2016,104390,90.96,4
openntp,rw,2016,500,48.92,105
openntp,sa,2016,1890,59.38,64
openntp,sb,2016,20,23.58,188
openntp,sc,2016,70,33.44,157
openntp,sd,2016,410,47.36,114
openntp,se,2016,12500,74.25,22
openntp,sg,2016,4210,65.69,45
openntp,si,2016,2390,61.23,59
openntp,sk,2016,2520,61.65,55
openntp,sl,2016,20,23.58,188
openntp,sm,2016,80,34.49,153
openntp,sn,2016,220,42.45,127
openntp,so,2016,20,23.58,188
openntp,sr,2016,50,30.79,168
openntp,ss,2016,10,18.12,199
openntp,sv,2016,740,52.0,92
openntp,sx,2016,10,18.12,199
openntp,sy,2016,60,32.23,163
openntp,sz,2016,60,32.23,163
openntp,tc,2016,50,30.79,168
openntp,tg,2016,20,23.58,188
openntp,th,2016,18010,77.13,16
openntp,tj,2016,80,34.49,153
openntp,tl,2016,130,38.31,144
openntp,tm,2016,50,30.79,168
openntp,tn,2016,610,50.48,96
openntp,tr,2016,10560,72.93,27
openntp,tt,2016,540,49.52,99
openntp,tw,2016,7230,69.94,31
openntp,tz,2016,570,49.95,97
openntp,ua,2016,11640,73.69,25
openntp,ug,2016,130,38.31,144
openntp,us,2016,329180,100.0,1
openntp,uy,2016,2210,60.61,60
openntp,uz,2016,440,47.91,111
openntp,vc,2016,40,29.04,175
openntp,ve,2016,2140,60.36,62
openntp,vg,2016,70,33.44,157
openntp,vi,2016,170,40.43,135
