2015,lt,13640
2016,mn,13570
2013,pk,13460
2014,uy,13230
2015,hn,13190
2014,ie,13110
2016,do,12990
2013,il,12860
2015,gr,12680
2013,ca,12590
2014,ma,12270
2014,at,12260
2016,lb,12200
2013,pt,11840
2014,ae,11830
2016,cz,11660
2014,gr,11610
2014,az,11520
2015,tz,11450
2016,kh,11320
2016,gh,11070
2016,pt,11030
2013,sg,10990
2015,am,10860
2013,bo,10780
2016,ch,10670
2013,fr,10500
2015,ae,10420
2016,ng,10290
2015,kh,10260
2016,by,10230
2015,pa,10080
2015,lu,9970
2016,kw,9910
2013,my,9820
2014,kg,9610
2016,at,9530
2016,bw,9370
2014,za,9280
2015,ge,9260
2014,am,8990
2013,ve,8940
2014,be,8940
2014,ch,8860
2015,ke,8860
2016,uy,8820
2015,si,8620
2013,az,8460
2013,sd,8370
2015,gt,8320
2016,ps,8110
2016,gr,8060
2015,cr,7790
2013,mk,7790
2014,pk,7650
2015,pr,7570
2015,ma,7540
2016,jo,7510
2014,mk,7460
2015,uy,7280
2013,za,7200
2014,al,7170
2016,tz,6970
2016,dz,6930
2014,se,6860
2016,lt,6800
2016,zm,6760
2015,jm,6740
2015,uz,6730
2013,ma,6720
2014,dz,6610
2015,cm,6540
2016,cm,6470
2016,et,6450
2015,ee,6400
2014,bo,6310
2013,ao,6000
2015,tn,5920
2013,gr,5920
2015,nz,5920
2014,uz,5890
2014,lt,5790
2013,am,5780
2014,iq,5690
2013,do,5680
2016,gt,5620
2016,pa,5600
2016,sn,5530
2013,ly,5470
2015,mg,5310
2014,bd,5220
2013,al,5220
2013,uy,5140
2014,pa,5130
2013,tn,5110
2013,bd,5090
2015,ht,5060
2014,md,5050
2016,cr,5040
2014,dk,5010
2014,kw,5000
2014,nz,4960
2014,ly,4930
2014,jo,4820
2015,kg,4820
2013,kw,4750
2015,tj,4650
2015,mk,4640
2014,do,4610
2013,iq,4540
2013,ae,4540
2016,np,4520
2016,sd,4510
2015,kw,4440
2016,ie,4370
2015,sr,4340
2015,az,4340
2016,hr,4320
2016,qa,4280
2015,ag,4270
2013,cz,4210
2016,me,4200
2013,au,4160
2016,ao,4150
2013,kg,4020
2015,mn,3940
2015,hr,3940
2016,ba,3830
2014,hr,3770
2015,mw,3670
2016,ly,3670
2014,sk,3650
2014,si,3620
2013,gh,3420
2016,lk,3410
2016,ma,3320
2016,xy,3300
2014,hn,3290
2014,pr,3290
2015,dz,3280
2014,ge,3280
2014,lb,3270
2016,sy,3230
2015,,3220
2016,tg,3180
2016,sv,3160
2013,ge,3140
2016,rw,3090
2016,be,3070
2015,ly,2970
2016,re,2930
2014,lk,2910
2016,si,2870
2013,mn,2850
2013,lb,2820
2014,ao,2790
2015,py,2760
2015,fi,2720
2013,dz,2700
2016,mu,2690
2014,gt,2690
2016,ug,2680
2014,lv,2650
2013,kh,2640
2013,ie,2520
2013,jo,2520
2014,eg,2460
2016,zw,2450
2016,bh,2440
2014,py,2410
2016,mz,2390
2015,qa,2380
2015,cy,2370
2013,lk,2330
2016,,2300
2013,ng,2300
2014,sd,2300
2013,lt,2270
2015,ba,2270
2016,lu,2260
2015,ps,2240
2014,no,2210
2014,sv,2200
2014,et,2190
2015,do,2160
2013,hu,2100
2016,im,2080
2014,cr,2070
2013,ke,2040
2014,ps,2020
2015,sc,2000
2016,md,2000
2015,sv,1950
2013,sk,1930
2015,bh,1920
2013,ps,1890
2013,md,1870
2013,mu,1860
2015,lb,1850
2013,pa,1840
2016,ni,1830
2014,me,1830
2014,ba,1820
2015,gh,1790
2015,ci,1740
2014,tt,1720
2013,rw,1710
2013,at,1710
2015,tg,1700
2016,mv,1690
2015,vi,1680
2016,ga,1680
2015,ao,1660
2014,mu,1620
2015,jo,1620
2015,lk,1600
2016,ht,1550
2013,ga,1550
2014,cy,1540
2013,ba,1540
2016,bj,1530
2014,,1530
2013,ch,1520
2016,nz,1520
2013,hr,1490
2013,nz,1490
2016,am,1470
2016,la,1460
2013,be,1450
2016,lv,1420
2016,mr,1400
2015,nc,1390
2015,mu,1390
2013,pr,1380
2015,tt,1380
2014,ke,1360
2016,dk,1360
2014,bs,1350
2014,mo,1340
2016,cy,1330
2016,cd,1330
2016,mm,1320
2013,na,1320
2015,cw,1310
2013,et,1300
2015,gp,1290
2016,ml,1290
2015,bm,1290
2016,fj,1290
2015,mo,1270
2013,,1260
2015,zw,1260
2015,bz,1240
2015,sd,1240
2014,kh,1240
2015,me,1230
2013,me,1220
2014,ht,1220
2013,eg,1220
2014,cm,1220
2013,tz,1210
2015,bs,1200
2014,bw,1200
2013,zw,1190
2013,uz,1180
2015,gu,1160
2014,zw,1150
2014,li,1140
2014,fi,1120
2016,ee,1110
2016,so,1100
2013,dk,1090
2014,ng,1090
2015,np,1070
2013,no,1040
2013,lv,1030
2013,mo,1020
2014,ee,1020
2013,cr,1010
2016,jm,1010
2013,af,1000
2014,ug,990
2015,ni,990
2014,na,970
2016,af,970
2014,ni,970
2014,ci,950
2016,bq,940
2015,la,940
2016,py,930
2015,ug,900
2015,dm,880
2016,mw,870
2013,zm,850
2015,is,850
2014,sn,850
2013,cm,840
2015,na,840
2013,gt,820
2014,la,820
2014,qa,800
2015,cg,790
2014,sr,790
2013,se,780
2013,tl,770
2013,hn,720
2014,gh,720
2014,mt,700
2013,bs,700
2014,fj,690
2016,ge,690
2014,tj,680
2015,rw,680
2014,nc,670
2013,si,670
2016,kg,670
2016,mg,660
2013,ht,660
2016,cv,660
2014,is,650
2014,ga,650
2015,kn,640
2016,az,640
2013,sn,620
2013,tt,610
2016,bf,600
2015,sn,600
2015,ad,590
2013,py,580
2016,gm,580
2015,ml,580
2016,om,570
2016,fi,570
2015,mm,570
2016,bt,560
2014,mp,560
2016,bs,560
2013,mz,550
2014,cw,550
2015,re,540
2016,ne,530
2015,je,520
2014,lr,510
2016,ye,500
2016,ky,500
2016,bn,500
2015,ga,500
2016,bz,500
2014,af,490
2014,lu,480
2014,vc,470
2014,mz,470
2013,lr,470
2016,gq,470
2013,mr,460
2014,xk,450
2016,gn,430
2015,af,420
2016,ag,410
2013,sy,400
2016,cg,400
2013,cd,400
2014,bt,390
2016,sl,390
2016,na,390
2015,bj,380
2013,pg,380
2014,cg,370
2013,bh,370
2014,ye,370
2014,ky,370
2013,la,370
2013,jm,370
2014,ml,360
2013,ky,360
2014,bb,360
2015,mt,360
2015,mc,350
2013,ye,350
2013,ug,340
2015,vc,340
2016,mt,340
2013,sv,340
2016,sz,330
2016,nc,330
2015,et,330
2014,cv,320
2016,pg,320
2013,mv,310
2014,tz,310
2013,fi,310
2013,dj,310
2014,gn,310
2013,cv,310
2016,sc,310
2015,lc,300
2015,mr,300
2014,cd,300
2014,bh,290
2014,mm,290
2014,jm,290
2016,bi,290
2013,ee,290
2014,sm,290
2015,ky,280
2016,xk,280
2014,rw,280
2014,bj,270
2013,mp,270
2016,uz,270
2013,xy,270
2014,aw,260
2013,tj,260
2014,yt,250
2013,sr,250
2014,dj,240
2013,gy,240
2016,cw,240
2015,tm,240
2014,bm,230
2016,pw,230
2013,bj,220
2013,gu,220
2015,xk,210
2013,qa,210
2016,vi,210
2016,dj,210
2016,gp,210
2013,mg,210
2013,xk,200
2013,bz,200
2015,li,190
2013,cy,190
2013,to,190
2013,nc,190
2014,bi,190
2014,np,190
2015,aw,180
2013,bb,180
2015,mv,180
2015,mp,180
2014,tc,180
2015,vg,180
2013,bt,180
2016,gu,170
2016,is,170
2013,cg,170
2013,gm,170
2015,sz,170
2013,ni,170
2014,bn,160
2013,aw,160
2013,ne,160
2016,bm,160
2016,vu,160
2014,ls,160
2014,mg,160
2013,sl,160
2016,ls,150
2015,so,150
2016,ki,150
2016,mh,150
2014,zm,150
2013,bw,140
2014,cu,140
2014,ag,140
2013,ci,140
2014,cf,140
2015,bn,140
2013,bf,130
2014,so,130
2013,bn,130
2013,mm,130
2016,tj,130
2016,lr,130
2016,mo,130
2015,cd,130
2014,mv,130
2014,as,130
2013,bi,130
2015,sm,120
2014,vi,120
2014,gd,120
2014,sb,120
2013,mc,120
2013,np,120
2013,tg,120
2016,sr,120
2015,mq,110
2014,sx,110
2015,fj,110
2013,mw,110
2015,gf,110
2015,bt,110
2013,cw,110
2016,ss,110
2016,gw,110
2015,gn,100
2016,bb,100
2013,gq,100
2015,gm,100
2014,mw,100
2014,bf,90
2013,lu,90
2015,gd,90
2014,bz,90
2015,sx,90
2013,ml,90
2013,ls,90
2014,tg,90
2013,li,90
2013,tm,80
2013,td,80
2013,re,80
2014,pg,80
2013,is,80
2014,lc,80
2016,cf,80
2014,mc,80
2016,mp,80
2016,gd,80
2014,mq,70
2013,fj,70
2015,ne,70
2014,ad,70
2013,sc,70
2013,mh,70
2015,cv,70
2014,mr,70
2014,sy,70
2014,kn,70
2013,bm,70
2013,gg,70
2014,je,70
2014,om,70
2016,st,60
2015,bb,60
2013,mt,60
2015,ye,60
2015,ss,60
2013,ki,60
2014,ne,60
2016,lc,60
2015,kp,60
2014,fo,60
2014,gm,60
2013,bq,60
2013,dm,60
2014,tl,50
2016,sb,50
2015,fo,50
2014,tm,50
2015,cf,50
2013,so,50
2014,gi,50
2014,sc,50
2014,gp,50
2013,as,50
2015,bq,50
2016,td,40
2013,gi,40
2014,gf,40
2015,pg,40
2016,vc,40
2015,om,40
2015,bf,40
2014,vg,40
2016,ws,40
2015,bi,40
2013,gd,40
2015,sy,40
