2015,18881,43340
2014,4663,42790
2015,14537,42500
2014,17877,42220
2016,29182,41640
2015,11427,41600
2015,34456,41210
2014,8167,40950
2016,12880,40660
2015,33363,39860
2015,8928,39760
2015,7738,39660
2014,9121,39640
2016,11976,39550
2016,3462,39290
2015,12876,39250
2014,38701,38960
2014,9829,38890
2013,9318,38600
2015,51604,38390
2016,17974,38380
2015,9198,38200
2015,17676,38130
2015,24154,36890
2015,29182,36830
2013,12880,36480
2015,20001,36160
2015,10036,35900
2015,37146,35900
2015,9676,35770
2015,27695,35740
2015,6848,35560
2016,4837,35410
2015,4618,34480
2015,17877,34480
2015,11351,34200
2015,701,33740
2016,5384,33730
2015,59988,33680
2015,38527,33410
2015,7643,33310
2016,17858,32840
2014,17858,32590
2015,28343,32430
2015,4812,32190
2015,9794,32180
2016,4808,32130
2015,4808,31980
2015,56300,31760
2015,26210,31170
2015,4800,30970
2015,12271,30840
2015,16509,30730
2015,10481,30660
2015,56040,30640
2014,3269,30620
2015,12389,30480
2015,45980,30390
2015,30036,30170
2015,4847,30110
2015,22927,30090
2015,9931,29030
2015,262832,28990
2015,7029,28930
2015,28192,28640
2014,3243,28620
2015,28761,28510
2015,9394,28440
2015,53175,28420
2013,18403,28400
2015,25019,28050
2015,20473,27810
2015,4663,27680
2013,,27630
2015,174,27590
2015,6739,27390
2015,46606,27230
2015,45102,27120
2015,53209,26780
2014,6830,26730
2014,8551,26240
2016,17444,26010
2015,22773,26000
2013,48159,25840
2015,8866,25820
2016,22927,25810
2015,29582,25700
2016,16322,25520
2015,32613,25350
2015,12874,25250
2015,35154,25240
2015,11426,24920
2015,24086,24900
2015,20738,24840
2015,25229,24600
2016,9498,24570
2015,327991,24470
2016,17589,24390
2016,17813,24310
2013,17974,24190
2015,38753,24120
2015,20632,23990
2013,8737,23910
2014,36352,23870
2016,10481,23740
2015,263352,23630
2015,18302,23590
2015,3215,23320
2016,23700,23140
2015,2856,23130
2015,14988,23090
2015,209,23060
2016,6830,22900
2015,8972,22720
2015,19108,22620
2014,12389,22560
2016,17676,22300
2016,20115,22240
2015,3320,22110
2014,24086,22010
2013,24560,21840
2015,14080,21800
2016,48159,21690
2013,7552,21360
2016,6503,21280
2016,8048,21240
2015,63889,21190
2014,8151,21180
2015,60781,21090
2014,7418,21050
2015,9050,20970
2016,25019,20830
2015,18049,20820
2016,18049,20730
2016,12083,20720
2014,9050,20600
2015,11303,20520
2015,8402,20370
2014,27699,20290
2015,17858,20200
