opendns,gt,2015,750900
openntp,sk,2015,744300
openntp,pt,2014,742600
spam,br,2015,738000
openntp,rs,2015,737500
openssdp,do,2016,736400
openntp,ke,2015,733400
openntp,,2014,732400
openntp,no,2016,730600
opendns,il,2015,727200
opendns,lb,2016,723600
openntp,lv,2014,722000
openntp,cr,2014,719100
openntp,py,2015,716900
openntp,pt,2015,716300
openssdp,kz,2016,710200
openntp,nz,2015,707900
openntp,gr,2015,707300
opendns,bo,2016,707000
openntp,gr,2014,701300
openssdp,no,2016,699700
openssdp,il,2016,697500
openntp,cl,2016,691500
openntp,bg,2016,689300
opendns,bg,2014,675100
opendns,pt,2016,673900
openntp,za,2016,673300
openntp,cr,2015,672200
opendns,au,2014,663700
opendns,be,2015,657500
opendns,ec,2016,655700
openntp,ke,2014,654800
openssdp,am,2016,651000
openntp,rs,2014,647600
openssdp,fr,2016,646200
openntp,md,2014,642900
openntp,lt,2014,630800
opendns,ua,2014,626400
opendns,at,2015,624200
opendns,pe,2014,622900
opendns,cl,2016,622800
opendns,ve,2016,618500
opendns,il,2016,614800
spam,in,2016,610800
openntp,si,2014,606400
opendns,cl,2014,605300
opendns,nl,2014,604600
openntp,kw,2014,603600
spam,vn,2016,601600
openntp,si,2015,597500
openssdp,me,2016,596500
opendns,ca,2014,590200
openntp,ir,2016,587600
opendns,ph,2014,582200
openntp,bd,2014,581100
openntp,ie,2015,581000
openntp,sg,2016,581000
openntp,bh,2014,579600
opendns,by,2015,579200
opendns,pe,2015,576100
opendns,sv,2015,575400
opendns,gt,2016,575300
openntp,py,2014,571300
openssdp,tt,2016,568600
spam,vn,2014,567900
opendns,ie,2015,566700
openntp,cy,2014,566600
openntp,ec,2016,566600
opendns,bd,2015,566200
opendns,nz,2015,562200
openntp,be,2016,561300
opendns,ly,2015,560900
spam,ua,2015,554600
opendns,rs,2014,551700
openntp,,2015,546200
openntp,md,2015,544000
opendns,dk,2015,539100
opendns,pa,2015,536700
opendns,no,2016,530300
spam,id,2015,524500
opendns,lt,2015,521800
openntp,pt,2016,519800
openntp,pe,2015,516800
opendns,ge,2015,514900
opendns,ae,2016,514600
opendns,kw,2015,512700
openntp,ae,2016,512600
openntp,pk,2016,511000
openntp,ma,2015,510600
openntp,pe,2014,505800
opendns,ve,2015,503600
spam,vn,2015,501700
opendns,az,2014,484600
opendns,lt,2016,484100
openntp,hr,2014,480200
opendns,jo,2015,479000
opendns,nz,2016,475200
openntp,at,2016,474200
openntp,ve,2014,472100
opendns,ni,2015,470900
openntp,ke,2016,470500
opendns,ec,2014,467300
openntp,ve,2015,465100
opendns,at,2016,464200
opendns,lv,2015,463600
opendns,sk,2014,452300
opendns,pe,2016,450000
openntp,pa,2015,449600
openntp,pa,2014,449400
openntp,il,2016,444800
openntp,bd,2015,441600
openntp,fi,2016,439900
openntp,sa,2014,433700
opendns,by,2016,433700
opendns,fi,2015,428900
opendns,be,2016,427100
openntp,cy,2015,426800
openssdp,by,2016,422300
spam,br,2016,420300
opendns,ie,2016,417200
openssdp,nz,2016,412500
spam,in,2015,412400
opendns,cr,2015,411200
openntp,gr,2016,410800
spam,hk,2015,410100
opendns,my,2014,404200
openntp,kw,2015,403000
opendns,ba,2014,401900
openntp,py,2016,401400
openntp,rs,2016,395600
openssdp,dk,2016,392100
opendns,gr,2014,391400
openntp,gt,2014,390900
opendns,hk,2014,389900
opendns,lk,2016,388800
openntp,kh,2015,385600
opendns,bd,2016,382600
openssdp,ro,2016,379200
opendns,kh,2015,374400
opendns,fi,2016,368200
openntp,lt,2015,365900
opendns,ge,2016,364200
openntp,uy,2015,361600
openntp,mo,2015,360900
openntp,hr,2015,360800
openntp,sk,2016,350000
openssdp,ie,2016,349000
opendns,do,2014,349000
openntp,eg,2014,347500
openntp,pr,2014,345200
opendns,dk,2016,341900
openntp,si,2016,333300
spam,us,2014,333100
opendns,ly,2016,332100
openntp,eg,2015,331700
openntp,pe,2016,328800
opendns,kw,2016,328600
opendns,lv,2016,327100
opendns,se,2014,325700
spam,tw,2015,325300
openntp,ma,2014,323300
openntp,md,2016,319300
openntp,nz,2016,318800
opendns,,2015,318200
opendns,pa,2016,317800
openntp,qa,2015,316900
openntp,pr,2015,315700
spam,de,2015,315600
openssdp,lb,2016,315300
opendns,xy,2016,314100
openntp,uy,2014,308700
openntp,uy,2016,308500
spam,kr,2013,307400
spam,cn,2016,306100
opendns,sv,2016,305300
openssdp,pe,2016,301000
openntp,ge,2014,299400
openntp,is,2014,299300
openntp,ba,2015,299100
openntp,by,2015,296800
openntp,mk,2014,296400
openntp,kh,2014,295700
opendns,ee,2015,295700
openssdp,lt,2016,293500
opendns,md,2014,292700
opendns,mk,2015,292400
openntp,mk,2015,291900
openntp,hn,2015,290900
opendns,jo,2016,285700
openssdp,za,2016,284400
openssdp,ch,2016,282400
openntp,bd,2016,280500
opendns,,2016,280200
opendns,sg,2014,279200
openntp,is,2015,276300
opendns,sy,2014,275800
openntp,ma,2016,273400
spam,ru,2016,273300
openntp,ps,2015,273300
openntp,sv,2014,268900
openntp,,2016,268000
openntp,ng,2014,267500
opendns,xy,2015,264800
openntp,lk,2014,264500
openntp,hn,2014,263200
openntp,ge,2016,260400
opendns,am,2014,259900
opendns,ps,2014,259400
opendns,hu,2014,257700
openntp,sa,2016,257100
opendns,sa,2014,256800
openntp,ng,2015,256300
openntp,gt,2015,256300
openntp,do,2015,255800
openntp,lk,2015,251200
openssdp,cw,2016,251200
openntp,ie,2016,248400
openntp,ve,2016,248000
opendns,uz,2015,247400
spam,gb,2015,245800
opendns,ye,2016,244800
openntp,pa,2016,244800
spam,ru,2014,244600
opendns,al,2015,244000
openntp,qa,2014,242200
openntp,by,2014,241200
openntp,bo,2014,240200
opendns,sn,2015,239600
openssdp,md,2016,233700
openntp,sv,2015,233500
openntp,lv,2015,231400
openntp,az,2014,230900
opendns,mu,2015,230700
openssdp,hr,2016,228900
openntp,ba,2014,228300
opendns,ye,2015,228100
openntp,kh,2016,225700
spam,jp,2014,224900
