risk,place,year,count,score,rank
openntp,re,2016,140,61.1,68
openntp,ro,2016,12320,25.86,188
openntp,rs,2016,3000,36.98,158
openntp,ru,2016,104390,9.04,207
openntp,rw,2016,500,51.08,106
openntp,sa,2016,1890,40.62,147
openntp,sb,2016,20,76.42,13
openntp,sc,2016,70,66.56,49
openntp,sd,2016,410,52.64,97
openntp,se,2016,12500,25.75,189
openntp,sg,2016,4210,34.31,166
openntp,si,2016,2390,38.77,152
openntp,sk,2016,2520,38.35,155
openntp,sl,2016,20,76.42,13
openntp,sm,2016,80,65.51,55
openntp,sn,2016,220,57.55,82
openntp,so,2016,20,76.42,13
openntp,sr,2016,50,69.21,37
openntp,ss,2016,10,81.88,1
openntp,sv,2016,740,48.0,119
openntp,sx,2016,10,81.88,1
openntp,sy,2016,60,67.77,44
openntp,sz,2016,60,67.77,44
openntp,tc,2016,50,69.21,37
openntp,tg,2016,20,76.42,13
openntp,th,2016,18010,22.87,195
openntp,tj,2016,80,65.51,55
openntp,tl,2016,130,61.69,66
openntp,tm,2016,50,69.21,37
openntp,tn,2016,610,49.52,115
openntp,tr,2016,10560,27.07,184
openntp,tt,2016,540,50.48,110
openntp,tw,2016,7230,30.06,180
openntp,tz,2016,570,50.05,114
openntp,ua,2016,11640,26.31,186
openntp,ug,2016,130,61.69,66
openntp,us,2016,329180,0.0,210
openntp,uy,2016,2210,39.39,151
openntp,uz,2016,440,52.09,100
openntp,vc,2016,40,70.96,32
openntp,ve,2016,2140,39.64,149
openntp,vg,2016,70,66.56,49
openntp,vi,2016,170,59.57,74
openntp,vn,2016,17420,23.13,193
openntp,vu,2016,70,66.56,49
openntp,ws,2016,30,73.23,24
openntp,xk,2016,30,73.23,24
openntp,xy,2016,17030,23.31,192
openntp,za,2016,5050,32.88,173
openntp,zm,2016,260,56.23,87
openntp,zw,2016,420,52.46,98
openssdp,ad,2016,1110,52.44,93
openssdp,ae,2016,47310,26.99,169
openssdp,af,2016,1040,52.88,89
openssdp,ag,2016,400,59.36,73
openssdp,ai,2016,20,79.68,9
openssdp,al,2016,3000,45.7,119
openssdp,am,2016,24720,31.39,155
openssdp,ao,2016,2210,47.77,112
openssdp,ar,2016,703260,8.68,204
openssdp,at,2016,7210,39.75,134
openssdp,au,2016,60460,25.32,174
openssdp,aw,2016,220,63.42,62
openssdp,ax,2016,120,67.53,46
openssdp,az,2016,6300,40.66,130
openssdp,ba,2016,56100,25.83,173
openssdp,bb,2016,930,53.64,88
openssdp,bd,2016,2470,47.01,114
openssdp,be,2016,9290,38.03,139
openssdp,bf,2016,30,76.93,18
openssdp,bg,2016,164770,18.52,187
openssdp,bh,2016,2010,48.41,110
openssdp,bj,2016,140,66.48,51
openssdp,bl,2016,10,84.38,1
openssdp,bm,2016,510,57.71,81
openssdp,bn,2016,170,65.17,56
openssdp,bo,2016,40730,28.0,165
openssdp,bq,2016,510,57.71,81
openssdp,br,2016,484910,11.2,201
openssdp,bs,2016,100,68.76,40
openssdp,bt,2016,110,68.12,44
openssdp,bw,2016,60,72.23,32
openssdp,by,2016,18140,33.49,150
openssdp,bz,2016,40,74.98,25
openssdp,ca,2016,243880,15.87,191
openssdp,cd,2016,40,74.98,25
openssdp,cg,2016,30,76.93,18
openssdp,ch,2016,11640,36.5,144
